order_id,date,region,product_type,revenue,cost,weight_kg,customer_type
ORD202501001,2025-01-05,华东,零担快运,1280.50,920.30,45.2,企业客户
ORD202501002,2025-01-08,华南,快递,356.00,198.50,2.1,个人客户
ORD202501003,2025-01-12,华北,整车运输,8500.00,6200.00,12000.0,企业客户
ORD202501004,2025-01-15,华东,零担快运,2340.80,1680.20,88.5,企业客户
ORD202501005,2025-01-18,西南,快递,189.00,105.60,1.5,个人客户
ORD202501006,2025-01-22,华中,零担快运,980.00,720.00,32.0,企业客户
ORD202501007,2025-01-25,华南,整车运输,12000.00,8900.00,18000.0,企业客户
ORD202501008,2025-01-28,华东,快递,420.50,235.80,3.2,个人客户
ORD202502001,2025-02-03,华北,零担快运,1560.00,1100.00,56.0,企业客户
ORD202502002,2025-02-07,华南,快递,278.00,155.00,1.8,个人客户
ORD202502003,2025-02-10,华东,整车运输,9800.00,7100.00,15000.0,企业客户
ORD202502004,2025-02-14,西南,零担快运,1120.00,810.00,41.0,企业客户
ORD202502005,2025-02-18,华中,快递,345.00,192.00,2.5,个人客户
ORD202502006,2025-02-22,华东,零担快运,2890.00,2050.00,102.0,企业客户
ORD202502007,2025-02-25,华北,快递,510.00,285.00,4.0,个人客户
ORD202502008,2025-02-28,华南,零担快运,1780.00,1280.00,67.5,企业客户
ORD202503001,2025-03-02,华东,快递,298.00,165.00,2.0,个人客户
ORD202503002,2025-03-06,华中,整车运输,10500.00,7800.00,16000.0,企业客户
ORD202503003,2025-03-10,华南,零担快运,2100.00,1520.00,78.0,企业客户
ORD202503004,2025-03-14,华北,快递,445.00,248.00,3.5,个人客户
ORD202503005,2025-03-18,西南,零担快运,1340.00,960.00,48.0,企业客户
ORD202503006,2025-03-22,华东,零担快运,3200.00,2280.00,115.0,企业客户
ORD202503007,2025-03-25,华中,快递,367.00,205.00,2.8,个人客户
ORD202503008,2025-03-28,华南,整车运输,11200.00,8300.00,17000.0,企业客户
ORD202504001,2025-04-01,华东,零担快运,2450.00,1750.00,92.0,企业客户
ORD202504002,2025-04-05,华北,快递,389.00,218.00,2.9,个人客户
ORD202504003,2025-04-08,华南,零担快运,1890.00,1360.00,71.0,企业客户
ORD202504004,2025-04-12,西南,快递,256.00,142.00,1.9,个人客户
ORD202504005,2025-04-16,华中,零担快运,1670.00,1200.00,58.0,企业客户
ORD202504006,2025-04-20,华东,整车运输,13500.00,9800.00,20000.0,企业客户
ORD202504007,2025-04-24,华南,快递,478.00,268.00,3.8,个人客户
ORD202504008,2025-04-28,华北,零担快运,1980.00,1420.00,75.0,企业客户
ORD202505001,2025-05-02,华东,快递,312.00,174.00,2.2,个人客户
ORD202505002,2025-05-06,华中,零担快运,2230.00,1600.00,85.0,企业客户
ORD202505003,2025-05-10,华南,整车运输,11800.00,8700.00,17500.0,企业客户
ORD202505004,2025-05-14,西南,零担快运,1450.00,1040.00,52.0,企业客户
ORD202505005,2025-05-18,华北,快递,523.00,292.00,4.2,个人客户
ORD202505006,2025-05-22,华东,零担快运,3560.00,2540.00,128.0,企业客户
ORD202505007,2025-05-26,华中,快递,401.00,224.00,3.0,个人客户
ORD202505008,2025-05-30,华南,零担快运,2340.00,1680.00,88.0,企业客户
